what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1454347601227
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1454347601227
java.vm.version,sysinfo,,,"19.0-b09",1454347601227
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454347602793
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454347606767
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454347607775
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1454347607893
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1454347610550
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454347610595
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1454347610624
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1454347610654
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454347612524
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454347612601
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454347612635
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454347612635
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1454347612643
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454347615103
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454347615125
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1454347620024
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1454347620737
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454347621044
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454347622164
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1454347623466
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1454347625093
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1454347625098
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454347625861
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1454347626452
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1454347626458
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454347626490
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1454347626901
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1454347626905
opened,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454347627716
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1454347628031
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1454347628040
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB 4-4]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1454347629027
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454347631384
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1454347706944
activated,view,com.altera.sbtgui.launch,12.0.0.178,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1454347753041
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454347758437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454347759891
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454347760673
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454347762116
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454347764929
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1454347790339
